,wine_type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,free_SO2_ratio,alcohol_surgar_ratio,sugar_acidity_ratio,fixed_acidity_ratio
21,red,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,13.432835820895525,408.69565217391306,25.58398220244716,94.54949944382648
22,red,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,52.5,404.16666666666663,32.87671232876712,94.52054794520546
23,red,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,47.82608695652174,664.2857142857144,20.926756352765324,94.17040358744396
24,red,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,36.36363636363637,527.7777777777777,22.471910112359552,94.88139825218477
25,red,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,40.0,494.7368421052632,24.327784891165173,90.90909090909092
26,red,7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6,50.0,490.00000000000006,23.682652457075193,92.36234458259325
27,red,6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,20.73170731707317,420.83333333333337,32.54237288135593,90.84745762711864
28,red,6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,59.45945945945946,424.0,32.95978905735003,90.96901779828607
29,red,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,13.27433628318584,426.08695652173924,25.683975432719148,92.6856504745952
30,red,6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,48.19277108433735,87.85046728971963,142.57161892071952,91.93870752831445
31,red,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,26.0,511.11111111111103,32.60869565217391,94.20289855072463
32,red,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,27.77777777777778,174.54545454545453,65.12729425695677,92.36234458259325
33,red,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,20.0,450.0,28.57142857142857,92.85714285714285
34,red,8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,43.333333333333336,461.9047619047618,24.764150943396224,95.5188679245283
36,red,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,13.79310344827586,177.96610169491524,76.12903225806451,94.19354838709677
37,red,8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,36.95652173913044,332.1428571428572,29.75557917109458,93.51753453772584
40,red,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,45.45454545454545,527.7777777777777,24.096385542168676,91.03078982597056
43,red,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,32.432432432432435,593.75,17.797552836484986,96.7741935483871
44,red,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,41.66666666666666,574.9999999999999,23.52941176470588,94.11764705882352
45,red,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,12.5,657.1428571428571,23.688663282571916,94.75465313028766
46,red,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,17.391304347826086,541.1764705882352,17.970401691331922,93.0232558139535
47,red,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,53.333333333333336,427.27272727272725,30.898876404494388,92.69662921348316
48,red,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,42.85714285714285,447.6190476190476,29.577464788732396,92.95774647887325
49,red,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,25.210084033613445,313.3333333333333,33.40757238307349,95.76837416481068
50,red,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,45.2054794520548,364.2857142857143,34.52527743526511,93.71146732429101
51,red,7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,55.55555555555556,250.0,45.67307692307692,92.54807692307692
52,red,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,40.0,282.3529411764706,32.015065913371004,96.045197740113
53,red,7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,45.45454545454545,184.31372549019608,62.73062730627305,92.25092250922508
54,red,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,31.48148148148148,434.7826086956522,27.413587604290818,92.96781883194278
55,red,7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,19.565217391304348,391.6666666666667,31.209362808842656,94.92847854356307
56,red,8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,36.53846153846154,418.1818181818181,23.91304347826087,95.65217391304348
57,red,7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,17.857142857142858,516.6666666666667,21.454112038140643,91.77592371871275
58,red,7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,34.285714285714285,500.0,23.690773067331673,93.51620947630923
59,red,7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,24.074074074074076,490.00000000000006,25.85649644473174,90.49773755656108
60,red,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,36.36363636363637,234.4086021505376,58.675078864353324,90.85173501577287
61,red,7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,28.205128205128204,640.0,18.703241895261847,93.51620947630923
62,red,6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,40.0,668.75,21.902806297056813,90.34907597535934
63,red,9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,41.53846153846154,535.0,20.790020790020787,96.67359667359668
65,red,7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,55.55555555555556,500.0,22.809123649459785,92.43697478991596
66,red,7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,17.708333333333332,452.38095238095235,25.089605734767023,91.99522102747908
67,red,7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,19.148936170212767,500.0,22.64600715137068,91.77592371871275
68,red,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,25.58139534883721,438.095238095238,23.398328690807794,92.47910863509749
69,red,9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,33.734939759036145,384.0,24.9500998003992,96.80638722554889
70,red,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,21.428571428571427,477.27272727272725,23.887079261672095,95.54831704668838
71,red,6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,46.66666666666666,445.83333333333337,31.641397495056033,89.65062623599209
72,red,6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,15.0,505.0,26.845637583892618,89.93288590604027
74,red,6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,20.0,574.9999999999999,24.06015037593985,93.23308270676691
76,red,7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,28.767123287671232,455.0,25.31645569620253,93.67088607594937
78,red,6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,29.508196721311474,572.2222222222222,27.272727272727273,95.45454545454545
79,red,6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,47.5,459.09090909090907,29.53020134228188,92.61744966442953
81,red,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,29.032258064516128,505.2631578947369,23.199023199023202,94.01709401709402
83,red,7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,33.333333333333336,500.0,23.62204724409449,91.86351706036746
84,red,7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,30.0,500.0,22.565320665083135,93.82422802850357
88,red,6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,34.78260869565217,356.6666666666667,39.603960396039604,89.76897689768977
89,red,7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,13.636363636363637,459.99999999999994,26.666666666666668,93.33333333333333
91,red,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,37.142857142857146,473.68421052631584,21.978021978021978,93.69577790630423
92,red,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,22.0,485.71428571428567,23.569023569023567,93.1537598204265
93,red,7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,36.36363636363637,547.3684210526316,22.891566265060238,93.97590361445782
94,red,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,18.46153846153846,438.095238095238,24.20749279538905,93.37175792507206
95,red,7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,13.88888888888889,427.27272727272725,28.608582574772434,93.62808842652795
97,red,6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,23.4375,547.0588235294118,24.890190336749633,90.77598828696925
98,red,8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,22.5,384.0,30.012004801920767,96.03841536614645
99,red,8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,24.18300653594771,465.00000000000006,22.509848058525606,91.1648846370287
100,red,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,25.53191489361702,527.7777777777777,21.5311004784689,93.30143540669857
101,red,8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,10.185185185185183,445.4545454545455,24.39024390243903,93.12638580931264
102,red,8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,12.612612612612612,445.4545454545455,24.444444444444446,93.33333333333333
103,red,10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,47.82608695652174,421.73913043478257,22.094140249759842,97.02209414024976
104,red,9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,20.967741935483872,477.27272727272725,22.448979591836736,95.91836734693877
105,red,8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,27.5,526.3157894736843,21.49321266968326,93.89140271493214
106,red,7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,25.0,470.0,23.923444976076556,93.30143540669857
107,red,8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,25.0,495.45454545454544,23.52941176470588,94.11764705882352
108,red,7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6,24.719101123595507,511.11111111111103,23.40702210663199,91.02730819245774
110,red,7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,23.07692307692308,367.99999999999994,31.269543464665414,91.30706691682302
111,red,8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,32.35294117647059,365.38461538461536,29.850746268656714,91.84845005740527
112,red,7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,20.58823529411765,593.75,19.277108433734938,93.97590361445782
113,red,9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5,30.0,494.7368421052632,19.750519750519754,93.55509355509356
116,red,8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,18.75,583.3333333333334,20.954598370197903,93.13154831199068
117,red,6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,31.57894736842105,522.2222222222222,27.77777777777778,94.13580246913581
118,red,8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,22.388059701492537,470.0,22.870211549456833,91.48084619782733
119,red,5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,17.171717171717173,565.2173913043479,37.704918032786885,91.8032786885246
120,red,6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,65.38461538461539,653.3333333333334,21.126760563380284,92.95774647887325
122,red,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,25.396825396825395,505.2631578947369,20.77638053581192,91.8534718425369
123,red,8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,19.23076923076923,527.7777777777777,19.966722129783694,92.0687742651137
124,red,7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,28.88888888888889,459.99999999999994,26.263952724885094,94.55022980958634
125,red,7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,14.285714285714286,452.38095238095235,25.119617224880386,93.30143540669857
126,red,7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,15.74074074074074,475.0,23.923444976076556,93.30143540669857
127,red,5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,42.85714285714285,777.7777777777777,32.49097472924188,93.86281588447653
128,red,6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,15.0,552.9411764705883,25.41106128550075,94.17040358744396
129,red,8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,5,22.69503546099291,522.2222222222222,20.524515393386547,92.36031927023946
130,red,5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,22.34042553191489,555.5555555555555,27.77777777777778,89.50617283950618
132,red,6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,40.0,443.4782608695652,31.123139377537207,93.36941813261163
133,red,8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,25.58139534883721,375.0,32.55813953488372,95.34883720930232
134,red,7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,45.45454545454545,490.4761904761905,27.522935779816514,95.67496723460026
136,red,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,25.252525252525253,561.1111111111111,22.22222222222222,92.5925925925926
137,red,7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,22.48062015503876,190.9090909090909,73.04116865869855,94.28950863213812
138,red,7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,21.875,190.9090909090909,73.04116865869855,94.28950863213812
139,red,7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,54.54545454545455,422.72727272727275,28.277634961439595,91.25964010282777
140,red,6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,20.930232558139537,489.4736842105264,25.675675675675677,91.8918918918919
143,red,7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,54.83870967741935,588.2352941176471,20.408163265306122,93.63745498199279
144,red,7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5,29.75206611570248,128.76712328767124,91.25,92.5
145,red,7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,28.925619834710744,130.55555555555554,91.25475285171103,92.52217997465146
146,red,7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5,14.583333333333334,558.8235294117648,20.166073546856467,92.52669039145908
147,red,6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5,17.821782178217823,485.71428571428567,28.225806451612904,91.3978494623656
148,red,7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4,40.47619047619048,562.5,20.382165605095544,92.99363057324841
149,red,6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,25.0,495.23809523809524,28.263795423956932,91.52086137281293
152,red,8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,33.333333333333336,459.99999999999994,23.752969121140143,95.01187648456057
153,red,7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,6,57.142857142857146,605.2631578947369,23.690773067331673,92.26932668329178
154,red,7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,20.0,475.0,26.041666666666668,95.05208333333334
155,red,6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,5,38.775510204081634,633.3333333333334,20.27027027027027,93.24324324324324
156,red,7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,6,21.05263157894737,456.5217391304348,28.678304239401495,93.51620947630923
157,red,7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,5,35.0,384.0,32.03074951953876,89.68609865470853
158,red,8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,23.80952380952381,395.83333333333337,25.5047821466525,93.51753453772584
160,red,7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,5,38.095238095238095,372.00000000000006,31.525851197982348,90.79445145018916
161,red,6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,5,16.923076923076923,516.6666666666667,24.291497975708502,91.76788124156545
162,red,6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,6,12.903225806451612,489.4736842105264,25.956284153005463,91.53005464480874
163,red,8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,5,30.58823529411765,484.99999999999994,21.715526601520086,96.63409337676438
164,red,7.4,0.39,0.48,2.0,0.082,14.0,67.0,0.9972,3.34,0.55,9.2,5,20.895522388059703,459.99999999999994,25.673940949935815,94.99358151476251
165,red,7.7,0.705,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,9.7,5,34.61538461538461,373.07692307692304,30.93396787626413,91.61213563355146
166,red,7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,5,10.48951048951049,475.0,23.80952380952381,94.04761904761904
167,red,7.9,0.49,0.32,1.9,0.082,17.0,144.0,0.9968,3.2,0.55,9.5,5,11.805555555555555,500.0,22.64600715137068,94.15971394517283
168,red,8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,5,16.53543307086614,324.1379310344828,33.333333333333336,94.25287356321839
169,red,6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,6,42.85714285714285,515.7894736842106,28.064992614475624,94.53471196454947
170,red,6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,3.28,0.61,9.5,5,12.698412698412698,250.0,51.14401076716016,91.52086137281293
171,red,7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5,25.0,440.9090909090908,26.99386503067485,93.25153374233129
172,red,7.8,0.59,0.33,2.0,0.074,24.0,120.0,0.9968,3.25,0.54,9.4,5,20.0,470.0,23.837902264600714,92.96781883194278
173,red,7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2,5,27.272727272727277,424.99999999999994,30.456852791878173,92.63959390862944
175,red,5.4,0.835,0.08,1.2,0.046,13.0,93.0,0.9924,3.57,0.85,13.0,7,13.978494623655914,1083.3333333333335,19.246190858059343,86.60785886126703
177,red,9.6,0.32,0.47,1.4,0.056,9.0,24.0,0.99695,3.22,0.82,10.3,7,37.5,735.7142857142858,14.112903225806452,96.7741935483871
179,red,6.8,0.5,0.11,1.5,0.075,16.0,49.0,0.99545,3.36,0.79,9.5,5,32.6530612244898,633.3333333333334,20.547945205479454,93.15068493150685
180,red,7.0,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55,9.2,5,41.02564102564103,574.9999999999999,21.5633423180593,94.33962264150944
181,red,7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,6,37.83783783783784,574.9999999999999,21.534320323014807,94.21265141318977
183,red,7.8,0.57,0.31,1.8,0.069,26.0,120.0,0.99625,3.29,0.53,9.3,5,21.666666666666668,516.6666666666667,21.505376344086024,93.1899641577061
184,red,7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,5,18.94736842105263,348.14814814814815,32.76699029126213,94.66019417475728
185,red,11.0,0.3,0.58,2.1,0.054,7.0,19.0,0.998,3.31,0.88,10.5,7,36.8421052631579,500.0,18.584070796460175,97.34513274336283
186,red,9.7,0.53,0.6,2.0,0.039,5.0,19.0,0.99585,3.3,0.86,12.4,6,26.31578947368421,620.0,19.550342130987296,94.81915933528838
187,red,8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,6,16.129032258064516,357.14285714285717,32.09169054441261,91.69054441260745
189,red,8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,10.1,5,43.07692307692308,459.09090909090907,25.085518814139114,93.50057012542759
190,red,7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,6,24.390243902439025,408.33333333333337,28.1195079086116,91.3884007029877
191,red,7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5,5,21.487603305785125,187.5,74.76635514018692,93.45794392523364
192,red,8.7,0.625,0.16,2.0,0.101,13.0,49.0,0.9962,3.14,0.57,11.0,5,26.53061224489796,550.0,21.447721179624665,93.2975871313673
193,red,8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,9.1,5,26.82926829268293,413.6363636363636,24.929178470254964,91.78470254957507
194,red,7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,9.7,5,22.727272727272727,510.52631578947364,23.779724655819773,93.86733416770963
195,red,7.8,0.53,0.33,2.4,0.08,24.0,144.0,0.99655,3.3,0.6,9.5,5,16.666666666666668,395.83333333333337,28.811524609843936,93.63745498199279
196,red,7.8,0.34,0.37,2.0,0.082,24.0,58.0,0.9964,3.34,0.59,9.4,6,41.37931034482759,470.0,24.570024570024568,95.82309582309581
197,red,7.4,0.53,0.26,2.0,0.101,16.0,72.0,0.9957,3.15,0.57,9.4,5,22.22222222222222,470.0,25.220680958385874,93.31651954602773
198,red,6.8,0.61,0.04,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,9.5,5,50.0,633.3333333333334,20.242914979757085,91.76788124156545
199,red,8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,10.0,6,28.571428571428573,500.0,21.63331530557058,93.0232558139535
200,red,8.4,0.635,0.36,2.0,0.089,15.0,55.0,0.99745,3.31,0.57,10.4,4,27.272727272727277,520.0,22.136137244050914,92.97177642501383
201,red,7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,6,46.03174603174603,403.8461538461538,31.98031980319803,94.71094710947109
203,red,9.0,0.82,0.14,2.6,0.089,9.0,23.0,0.9984,3.39,0.63,9.8,5,39.130434782608695,376.92307692307696,26.476578411405296,91.64969450101833
204,red,6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,11.0,5,27.027027027027028,423.07692307692304,35.04043126684636,92.99191374663073
205,red,5.2,0.48,0.04,1.6,0.054,19.0,106.0,0.9927,3.54,0.62,12.2,7,17.92452830188679,762.5,28.169014084507044,91.54929577464789
206,red,8.0,0.38,0.06,1.8,0.078,12.0,49.0,0.99625,3.37,0.52,9.9,6,24.489795918367346,550.0,21.479713603818613,95.46539379474939
207,red,8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,3.34,0.7,9.6,6,31.03448275862069,342.8571428571429,31.56708004509583,95.82863585118378
209,red,7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,9.0,6,36.8421052631579,473.68421052631584,24.26564495530013,91.95402298850574
210,red,7.2,0.645,0.0,1.9,0.097,15.0,39.0,0.99675,3.37,0.58,9.2,6,38.46153846153846,484.2105263157894,24.21924792861695,91.77820267686424
