,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,free_SO2_ratio,alcohol_surgar_ratio,sugar_acidity_ratio,fixed_acidity_ratio,wine_type_white
14,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,1,33.980582524271846,583.3333333333334,20.50113895216401,96.81093394077448,0
15,8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,0,28.571428571428573,547.0588235294118,19.63048498845265,93.53348729792148,0
16,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,0,20.6896551724138,204.54545454545453,55.06883604505633,92.61576971214018,0
17,7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,0,30.357142857142858,511.11111111111103,21.8978102189781,96.10705596107056,0
18,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,0,48.333333333333336,522.2222222222222,19.736842105263158,97.5877192982456,0
19,7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,0,32.394366197183096,421.73913043478257,28.785982478097623,95.11889862327912,0
20,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,0,27.027027027027028,593.75,19.20768307322929,94.83793517406964,0
21,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,0,13.432835820895525,408.69565217391306,25.58398220244716,94.54949944382648,0
22,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,0,52.5,404.1666666666666,32.87671232876712,94.52054794520546,0
23,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,0,47.82608695652174,664.2857142857144,20.926756352765324,94.17040358744396,0
24,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,0,36.36363636363637,527.7777777777777,22.471910112359552,94.88139825218477,0
25,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,0,40.0,494.7368421052632,24.327784891165173,90.90909090909092,0
26,7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,0,50.0,490.00000000000006,23.682652457075196,92.36234458259324,0
27,6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,0,20.73170731707317,420.83333333333337,32.54237288135593,90.84745762711864,0
28,6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,0,59.45945945945946,424.0,32.95978905735003,90.96901779828607,0
29,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,0,13.27433628318584,426.0869565217392,25.683975432719148,92.6856504745952,0
30,6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,0,48.19277108433735,87.85046728971963,142.57161892071952,91.93870752831444,0
31,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,0,26.0,511.11111111111103,32.60869565217391,94.20289855072464,0
32,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,0,27.77777777777778,174.54545454545453,65.12729425695677,92.36234458259324,0
33,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,0,20.0,450.0,28.57142857142857,92.85714285714285,0
34,8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,1,43.333333333333336,461.9047619047618,24.764150943396224,95.5188679245283,0
35,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,0,36.8421052631579,653.3333333333334,21.961932650073205,83.45534407027819,0
36,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,0,13.79310344827586,177.96610169491524,76.12903225806451,94.19354838709675,0
37,8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,0,36.95652173913044,332.1428571428572,29.75557917109458,93.51753453772584,0
38,7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,0,57.142857142857146,403.8461538461538,32.540675844806,93.86733416770964,0
39,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,0,39.130434782608695,468.1818181818181,25.11415525114156,92.46575342465754,0
40,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,0,45.45454545454545,527.7777777777777,24.09638554216868,91.03078982597056,0
41,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,0,12.307692307692308,623.8095238095237,41.01562500000001,89.84375,0
42,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,0,19.29824561403509,418.1818181818181,25.47770700636943,89.171974522293,0
43,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,0,32.432432432432435,593.75,17.797552836484986,96.7741935483871,0
44,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,0,41.66666666666666,574.9999999999999,23.52941176470588,94.11764705882352,0
45,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,0,12.5,657.1428571428571,23.68866328257192,94.75465313028766,0
46,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,0,17.391304347826086,541.1764705882352,17.970401691331922,93.0232558139535,0
47,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,0,53.333333333333336,427.27272727272725,30.898876404494388,92.69662921348316,0
48,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,0,42.85714285714285,447.6190476190476,29.5774647887324,92.95774647887325,0
49,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,0,25.210084033613445,313.3333333333333,33.40757238307349,95.76837416481068,0
50,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,0,45.2054794520548,364.2857142857143,34.52527743526511,93.711467324291,0
51,7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,0,55.55555555555556,250.0,45.67307692307692,92.54807692307692,0
52,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,0,40.0,282.3529411764706,32.015065913371004,96.045197740113,0
53,7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,0,45.45454545454545,184.31372549019608,62.73062730627305,92.25092250922508,0
54,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,0,31.48148148148148,434.7826086956522,27.413587604290814,92.96781883194278,0
55,7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,0,19.565217391304348,391.6666666666667,31.209362808842656,94.92847854356307,0
56,8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,0,36.53846153846154,418.1818181818181,23.91304347826087,95.65217391304348,0
57,7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,0,17.857142857142858,516.6666666666667,21.454112038140643,91.77592371871276,0
58,7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,1,34.285714285714285,500.0,23.690773067331676,93.51620947630924,0
59,7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,0,24.07407407407408,490.00000000000006,25.85649644473174,90.49773755656108,0
60,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,0,36.36363636363637,234.4086021505376,58.67507886435333,90.85173501577287,0
61,7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,0,28.205128205128204,640.0,18.703241895261847,93.51620947630924,0
62,6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,0,40.0,668.75,21.902806297056813,90.34907597535934,0
63,9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,0,41.53846153846154,535.0,20.790020790020787,96.67359667359668,0
64,8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,0,42.10526315789474,552.6315789473684,21.826536473291213,91.9012062033314,0
65,7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,0,55.55555555555556,500.0,22.809123649459785,92.43697478991596,0
66,7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,0,17.708333333333332,452.3809523809524,25.089605734767023,91.99522102747908,0
67,7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,0,19.148936170212767,500.0,22.64600715137068,91.77592371871276,0
68,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,0,25.58139534883721,438.095238095238,23.398328690807794,92.47910863509748,0
69,9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,0,33.734939759036145,384.0,24.9500998003992,96.80638722554887,0
70,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,0,21.428571428571427,477.27272727272725,23.887079261672092,95.54831704668838,0
71,6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,0,46.66666666666666,445.83333333333337,31.641397495056037,89.65062623599209,0
72,6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,0,15.0,505.0,26.845637583892614,89.93288590604027,0
73,8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,0,22.689075630252105,606.6666666666666,16.806722689075627,92.99719887955185,0
74,6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,0,20.0,574.9999999999999,24.06015037593985,93.23308270676692,0
75,7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,0,32.83582089552239,494.7368421052632,23.086269744835963,94.77521263669502,0
76,7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,0,28.767123287671232,455.0,25.31645569620253,93.67088607594935,0
77,7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,0,31.37254901960784,522.2222222222222,22.58469259723965,91.59347553324967,0
78,6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,0,29.508196721311474,572.2222222222222,27.272727272727277,95.45454545454544,0
79,6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,0,47.5,459.09090909090907,29.53020134228188,92.61744966442951,0
80,8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,0,14.705882352941176,521.0526315789474,20.9020902090209,94.6094609460946,0
81,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,0,29.032258064516128,505.2631578947369,23.1990231990232,94.01709401709402,0
82,9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,0,27.2,452.3809523809524,21.671826625386995,95.9752321981424,0
83,7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,0,33.333333333333336,500.0,23.62204724409449,91.86351706036746,0
84,7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,0,30.0,500.0,22.56532066508313,93.82422802850355,0
85,8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,0,14.285714285714286,490.00000000000006,22.002200220022,94.6094609460946,0
86,5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,0,48.23529411764706,750.0,23.25581395348837,83.05647840531562,0
87,4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,0,16.037735849056602,560.8695652173914,43.39622641509433,88.67924528301887,0
88,6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,0,34.78260869565217,356.6666666666667,39.6039603960396,89.76897689768977,0
89,7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,0,13.636363636363637,460.0,26.666666666666668,93.33333333333331,0
90,7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,0,50.0,392.00000000000006,29.41176470588235,89.41176470588235,0
91,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,0,37.142857142857146,473.68421052631584,21.978021978021975,93.69577790630424,0
92,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,0,22.0,485.71428571428567,23.569023569023567,93.1537598204265,0
93,7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,0,36.36363636363637,547.3684210526316,22.89156626506024,93.97590361445782,0
94,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,0,18.46153846153846,438.095238095238,24.20749279538905,93.37175792507206,0
95,7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,0,13.88888888888889,427.27272727272725,28.608582574772434,93.62808842652797,0
96,7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,0,26.08695652173913,547.0588235294118,20.706455542021928,95.00609013398297,0
97,6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,0,23.4375,547.0588235294118,24.890190336749637,90.77598828696924,0
98,8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,0,22.5,384.0,30.012004801920767,96.03841536614644,0
99,8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,0,24.18300653594771,465.00000000000006,22.50984805852561,91.1648846370287,0
100,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,0,25.53191489361702,527.7777777777777,21.5311004784689,93.30143540669856,0
101,8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,0,10.185185185185183,445.4545454545455,24.39024390243903,93.12638580931264,0
102,8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,0,12.612612612612612,445.4545454545455,24.444444444444446,93.33333333333331,0
103,10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,0,47.82608695652174,421.73913043478257,22.09414024975984,97.02209414024976,0
104,9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,0,20.967741935483872,477.27272727272725,22.448979591836736,95.91836734693877,0
105,8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,0,27.5,526.3157894736843,21.49321266968326,93.89140271493214,0
106,7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,0,25.0,470.0,23.92344497607656,93.30143540669856,0
107,8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,0,25.0,495.45454545454544,23.52941176470588,94.11764705882352,0
108,7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,0,24.719101123595507,511.11111111111103,23.40702210663199,91.02730819245774,0
109,7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,0,11.235955056179776,529.4117647058823,20.310633213859024,87.21624850657109,0
110,7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,0,23.07692307692308,368.0,31.26954346466541,91.30706691682302,0
111,8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,0,32.35294117647059,365.38461538461536,29.850746268656717,91.84845005740527,0
112,7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,0,20.58823529411765,593.75,19.277108433734934,93.97590361445782,0
113,9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,0,30.0,494.7368421052632,19.750519750519757,93.55509355509356,0
114,8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,0,25.0,641.1764705882354,17.83840503672613,86.04407135362014,0
115,8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,0,25.0,605.5555555555555,19.088016967126197,85.89607635206787,0
116,8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,1,18.75,583.3333333333334,20.954598370197903,93.13154831199068,0
117,6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,0,31.57894736842105,522.2222222222222,27.77777777777778,94.1358024691358,0
118,8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,0,22.388059701492537,470.0,22.870211549456837,91.48084619782732,0
119,5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,0,17.171717171717173,565.2173913043479,37.704918032786885,91.8032786885246,0
120,6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,0,65.38461538461539,653.3333333333334,21.126760563380284,92.95774647887325,0
121,7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,0,44.82758620689656,450.0,24.60850111856823,88.36689038031318,0
122,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,0,25.396825396825395,505.2631578947369,20.77638053581192,91.8534718425369,0
123,8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,0,19.23076923076923,527.7777777777777,19.96672212978369,92.0687742651137,0
124,7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,0,28.88888888888889,460.0,26.26395272488509,94.55022980958634,0
125,7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,0,14.285714285714286,452.3809523809524,25.119617224880383,93.30143540669856,0
126,7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,0,15.74074074074074,475.0,23.92344497607656,93.30143540669856,0
127,5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,0,42.85714285714285,777.7777777777777,32.49097472924188,93.86281588447652,0
128,6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,0,15.0,552.9411764705883,25.41106128550075,94.17040358744396,0
129,8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,0,22.69503546099291,522.2222222222222,20.524515393386547,92.36031927023946,0
130,5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,0,22.34042553191489,555.5555555555555,27.77777777777778,89.50617283950618,0
131,7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,0,11.363636363636363,581.25,19.77750309023486,93.94313967861558,0
132,6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,0,40.0,443.4782608695652,31.123139377537207,93.36941813261164,0
133,8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,0,25.58139534883721,375.0,32.55813953488372,95.34883720930232,0
134,7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,0,45.45454545454545,490.4761904761905,27.522935779816518,95.67496723460026,0
135,9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,0,46.3768115942029,276.47058823529414,34.979423868312765,94.65020576131688,0
136,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,0,25.252525252525253,561.1111111111111,22.22222222222222,92.5925925925926,0
137,7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,0,22.48062015503876,190.9090909090909,73.04116865869855,94.28950863213812,0
138,7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,0,21.875,190.9090909090909,73.04116865869855,94.28950863213812,0
139,7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,0,54.54545454545455,422.7272727272728,28.277634961439595,91.25964010282776,0
140,6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,0,20.930232558139537,489.4736842105264,25.67567567567568,91.8918918918919,0
141,7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,0,35.0,480.0,23.39181286549708,88.8888888888889,0
142,7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,0,45.0,707.6923076923076,15.70048309178744,91.78743961352656,0
143,7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,0,54.83870967741935,588.2352941176471,20.40816326530612,93.6374549819928,0
144,7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,0,29.75206611570248,128.76712328767124,91.25,92.5,0
145,7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,0,28.925619834710744,130.55555555555554,91.25475285171105,92.52217997465146,0
146,7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,0,14.583333333333334,558.8235294117648,20.166073546856467,92.52669039145908,0
147,6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,0,17.821782178217823,485.71428571428567,28.225806451612904,91.3978494623656,0
148,7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,0,40.47619047619048,562.5,20.382165605095544,92.9936305732484,0
149,6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,0,25.0,495.2380952380952,28.26379542395693,91.52086137281292,0
150,7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,9.5,0,23.80952380952381,527.7777777777777,21.937842778793417,91.40767824497256,0
151,7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,0,50.0,505.55555555555554,20.48947068867388,89.92601024473534,0
152,8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,0,33.333333333333336,460.0,23.752969121140143,95.01187648456056,0
153,7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,0,57.142857142857146,605.2631578947369,23.690773067331676,92.26932668329178,0
154,7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,0,20.0,475.0,26.041666666666668,95.05208333333334,0
155,6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,0,38.775510204081634,633.3333333333334,20.27027027027027,93.24324324324324,0
156,7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,0,21.05263157894737,456.5217391304348,28.67830423940149,93.51620947630924,0
157,7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,0,35.0,384.0,32.03074951953876,89.68609865470853,0
158,8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,0,23.80952380952381,395.83333333333337,25.5047821466525,93.51753453772584,0
159,8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,9.3,0,20.90909090909091,465.00000000000006,21.03049421661409,93.58569926393272,0
160,7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,0,38.095238095238095,372.00000000000006,31.525851197982348,90.79445145018916,0
161,6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,0,16.923076923076923,516.6666666666667,24.291497975708506,91.76788124156543,0
162,6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,0,12.903225806451612,489.4736842105264,25.956284153005463,91.53005464480874,0
163,8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,0,30.58823529411765,485.0,21.71552660152009,96.63409337676438,0
164,7.4,0.39,0.48,2.0,0.082,14.0,67.0,0.9972,3.34,0.55,9.2,0,20.895522388059703,460.0,25.67394094993581,94.99358151476252,0
165,7.7,0.705,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,9.7,0,34.61538461538461,373.07692307692304,30.93396787626413,91.61213563355146,0
166,7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,0,10.48951048951049,475.0,23.80952380952381,94.04761904761904,0
167,7.9,0.49,0.32,1.9,0.082,17.0,144.0,0.9968,3.2,0.55,9.5,0,11.805555555555555,500.0,22.64600715137068,94.15971394517284,0
168,8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,0,16.53543307086614,324.1379310344828,33.333333333333336,94.2528735632184,0
